# Simulated Processed Sensor Data for Industrial Propulsion Test Rig
# This file contains 100 rows of processed sensor readings with statistical analysis
# Columns: timestamp, temperature, pressure, uptime, z_score_temp, alert_status
# Z-score calculated for temperature anomaly detection (|z_score| > 2 = red alert)
# Data represents processed values for a rocket engine test stand monitoring system
# Generated for ETL pipeline testing and dashboard demonstration
timestamp,temperature,pressure,uptime,z_score_temp,alert_status
2025-07-13 00:00:00,45.2,1023.4,0.0,0.23,green
2025-07-13 00:06:00,47.8,1025.1,0.1,0.45,green
2025-07-13 00:12:00,52.3,1027.8,0.2,0.78,green
2025-07-13 00:18:00,58.7,1030.2,0.3,1.34,green
2025-07-13 00:24:00,65.4,1032.9,0.4,2.01,green
2025-07-13 00:30:00,72.1,1035.6,0.5,2.68,red
2025-07-13 00:36:00,78.9,1038.3,0.6,3.35,red
2025-07-13 00:42:00,85.2,1041.1,0.7,3.92,red
2025-07-13 00:48:00,91.7,1043.8,0.8,4.59,red
2025-07-13 00:54:00,88.3,1046.5,0.9,4.22,red
2025-07-13 01:00:00,82.6,1049.2,1.0,3.65,red
2025-07-13 01:06:00,76.9,1051.9,1.1,2.98,red
2025-07-13 01:12:00,71.4,1054.6,1.2,2.41,red
2025-07-13 01:18:00,67.8,1057.3,1.3,2.08,green
2025-07-13 01:24:00,64.2,1060.0,1.4,1.71,green
2025-07-13 01:30:00,61.5,1062.7,1.5,1.44,green
2025-07-13 01:36:00,59.1,1065.4,1.6,1.21,green
2025-07-13 01:42:00,56.8,1068.1,1.7,0.98,green
2025-07-13 01:48:00,54.3,1070.8,1.8,0.73,green
2025-07-13 01:54:00,51.9,1073.5,1.9,0.51,green
2025-07-13 02:00:00,49.7,1076.2,2.0,0.31,green
2025-07-13 02:06:00,47.4,1078.9,2.1,0.08,green
2025-07-13 02:12:00,45.2,1081.6,2.2,-0.12,green
2025-07-13 02:18:00,43.1,1084.3,2.3,-0.31,green
2025-07-13 02:24:00,41.3,1087.0,2.4,-0.47,green
2025-07-13 02:30:00,39.8,1089.7,2.5,-0.60,green
2025-07-13 02:36:00,38.4,1092.4,2.6,-0.72,green
2025-07-13 02:42:00,37.1,1095.1,2.7,-0.83,green
2025-07-13 02:48:00,35.9,1097.8,2.8,-0.93,green
2025-07-13 02:54:00,34.8,1100.5,2.9,-1.02,green
2025-07-13 03:00:00,33.7,1098.2,3.0,-1.11,green
2025-07-13 03:06:00,32.6,1095.9,3.1,-1.20,green
2025-07-13 03:12:00,31.5,1093.6,3.2,-1.29,green
2025-07-13 03:18:00,30.4,1091.3,3.3,-1.38,green
2025-07-13 03:24:00,29.3,1089.0,3.4,-1.47,green
2025-07-13 03:30:00,28.2,1086.7,3.5,-1.56,green
2025-07-13 03:36:00,27.1,1084.4,3.6,-1.65,green
2025-07-13 03:42:00,26.0,1082.1,3.7,-1.74,green
2025-07-13 03:48:00,24.9,1079.8,3.8,-1.83,green
2025-07-13 03:54:00,23.8,1077.5,3.9,-1.92,green
2025-07-13 04:00:00,22.7,1075.2,4.0,-2.01,green
2025-07-13 04:06:00,21.6,1072.9,4.1,-2.10,green
2025-07-13 04:12:00,20.5,1070.6,4.2,-2.19,green
2025-07-13 04:18:00,19.4,1068.3,4.3,-2.28,green
2025-07-13 04:24:00,18.3,1066.0,4.4,-2.37,green
2025-07-13 04:30:00,17.2,1063.7,4.5,-2.46,green
2025-07-13 04:36:00,16.1,1061.4,4.6,-2.55,green
2025-07-13 04:42:00,15.0,1059.1,4.7,-2.64,green
2025-07-13 04:48:00,13.9,1056.8,4.8,-2.73,green
2025-07-13 04:54:00,12.8,1054.5,4.9,-2.82,green
2025-07-13 05:00:00,11.7,1052.2,5.0,-2.91,green
2025-07-13 05:06:00,10.6,1049.9,5.1,-3.00,red
2025-07-13 05:12:00,9.5,1047.6,5.2,-3.09,red
2025-07-13 05:18:00,8.4,1045.3,5.3,-3.18,red
2025-07-13 05:24:00,7.3,1043.0,5.4,-3.27,red
2025-07-13 05:30:00,6.2,1040.7,5.5,-3.36,red
2025-07-13 05:36:00,5.1,1038.4,5.6,-3.45,red
2025-07-13 05:42:00,4.0,1036.1,5.7,-3.54,red
2025-07-13 05:48:00,2.9,1033.8,5.8,-3.63,red
2025-07-13 05:54:00,1.8,1031.5,5.9,-3.72,red
2025-07-13 06:00:00,0.7,1029.2,6.0,-3.81,red
2025-07-13 06:06:00,1.6,1026.9,6.1,-3.72,red
2025-07-13 06:12:00,2.5,1024.6,6.2,-3.63,red
2025-07-13 06:18:00,3.4,1022.3,6.3,-3.54,red
2025-07-13 06:24:00,4.3,1020.0,6.4,-3.45,red
2025-07-13 06:30:00,5.2,1017.7,6.5,-3.36,red
2025-07-13 06:36:00,6.1,1015.4,6.6,-3.27,red
2025-07-13 06:42:00,7.0,1013.1,6.7,-3.18,red
2025-07-13 06:48:00,7.9,1010.8,6.8,-3.09,red
2025-07-13 06:54:00,8.8,1008.5,6.9,-3.00,red
2025-07-13 07:00:00,9.7,1006.2,7.0,-2.91,green
2025-07-13 07:06:00,10.6,1003.9,7.1,-2.82,green
2025-07-13 07:12:00,11.5,1001.6,7.2,-2.73,green
2025-07-13 07:18:00,12.4,999.3,7.3,-2.64,green
2025-07-13 07:24:00,13.3,997.0,7.4,-2.55,green
2025-07-13 07:30:00,14.2,994.7,7.5,-2.46,green
2025-07-13 07:36:00,15.1,992.4,7.6,-2.37,green
2025-07-13 07:42:00,16.0,990.1,7.7,-2.28,green
2025-07-13 07:48:00,16.9,987.8,7.8,-2.19,green
2025-07-13 07:54:00,17.8,985.5,7.9,-2.10,green
2025-07-13 08:00:00,18.7,983.2,8.0,-2.01,green
2025-07-13 08:06:00,19.6,980.9,8.1,-1.92,green
2025-07-13 08:12:00,20.5,978.6,8.2,-1.83,green
2025-07-13 08:18:00,21.4,976.3,8.3,-1.74,green
2025-07-13 08:24:00,22.3,974.0,8.4,-1.65,green
2025-07-13 08:30:00,23.2,971.7,8.5,-1.56,green
2025-07-13 08:36:00,24.1,969.4,8.6,-1.47,green
2025-07-13 08:42:00,25.0,967.1,8.7,-1.38,green
2025-07-13 08:48:00,25.9,964.8,8.8,-1.29,green
2025-07-13 08:54:00,26.8,962.5,8.9,-1.20,green
2025-07-13 09:00:00,27.7,960.2,9.0,-1.11,green
2025-07-13 09:06:00,28.6,957.9,9.1,-1.02,green
2025-07-13 09:12:00,29.5,955.6,9.2,-0.93,green
2025-07-13 09:18:00,30.4,953.3,9.3,-0.83,green
2025-07-13 09:24:00,31.3,951.0,9.4,-0.72,green
2025-07-13 09:30:00,32.2,948.7,9.5,-0.60,green
2025-07-13 09:36:00,33.1,946.4,9.6,-0.47,green
2025-07-13 09:42:00,34.0,944.1,9.7,-0.31,green
2025-07-13 09:48:00,34.9,941.8,9.8,-0.12,green
2025-07-13 09:54:00,35.8,939.5,9.9,0.08,green
2025-07-13 10:00:00,36.7,937.2,10.0,0.31,green
2025-07-13 10:06:00,37.6,934.9,10.1,0.51,green
2025-07-13 10:12:00,38.5,932.6,10.2,0.73,green
2025-07-13 10:18:00,39.4,930.3,10.3,0.98,green
2025-07-13 10:24:00,40.3,928.0,10.4,1.21,green
2025-07-13 10:30:00,41.2,925.7,10.5,1.44,green
2025-07-13 10:36:00,42.1,923.4,10.6,1.71,green
2025-07-13 10:42:00,43.0,921.1,10.7,2.08,green
2025-07-13 10:48:00,43.9,918.8,10.8,2.41,red
2025-07-13 10:54:00,44.8,916.5,10.9,2.68,red
2025-07-13 11:00:00,45.7,914.2,11.0,2.98,red
2025-07-13 11:06:00,46.6,911.9,11.1,3.35,red
2025-07-13 11:12:00,47.5,909.6,11.2,3.92,red
2025-07-13 11:18:00,48.4,907.3,11.3,4.59,red
2025-07-13 11:24:00,49.3,905.0,11.4,4.22,red
2025-07-13 11:30:00,50.2,902.7,11.5,3.65,red
2025-07-13 11:36:00,51.1,900.4,11.6,2.98,red
2025-07-13 11:42:00,52.0,898.1,11.7,2.41,red
2025-07-13 11:48:00,52.9,895.8,11.8,2.08,green
2025-07-13 11:54:00,53.8,893.5,11.9,1.71,green
2025-07-13 12:00:00,54.7,891.2,12.0,1.44,green 
